1900162000+1000,2023-05-14T15:18:01.133Z,2023-05-14T15:18:01.183Z
1900163000+1000,2023-05-14T15:18:01.157Z,2023-05-14T15:18:01.192Z
1900164000+1000,2023-05-14T15:18:01.159Z,2023-05-14T15:18:01.196Z
1900165000+1000,2023-05-14T15:18:01.183Z,2023-05-14T15:18:01.222Z
1900166000+1000,2023-05-14T15:18:01.192Z,2023-05-14T15:18:01.229Z
1900167000+1000,2023-05-14T15:18:01.196Z,2023-05-14T15:18:01.234Z
1900168000+1000,2023-05-14T15:18:01.222Z,2023-05-14T15:18:01.257Z
1900169000+1000,2023-05-14T15:18:01.229Z,2023-05-14T15:18:01.264Z
1900170000+1000,2023-05-14T15:18:01.234Z,2023-05-14T15:18:01.279Z
1900172000+1000,2023-05-14T15:18:01.264Z,2023-05-14T15:18:01.297Z
1900171000+1000,2023-05-14T15:18:01.257Z,2023-05-14T15:18:01.301Z
1900173000+1000,2023-05-14T15:18:01.279Z,2023-05-14T15:18:01.323Z
1900174000+1000,2023-05-14T15:18:01.297Z,2023-05-14T15:18:01.335Z
1900175000+1000,2023-05-14T15:18:01.301Z,2023-05-14T15:18:01.340Z
1900177000+1000,2023-05-14T15:18:01.335Z,2023-05-14T15:18:01.370Z
1900176000+1000,2023-05-14T15:18:01.323Z,2023-05-14T15:18:01.372Z
1900178000+1000,2023-05-14T15:18:01.340Z,2023-05-14T15:18:01.377Z
1900179000+1000,2023-05-14T15:18:01.370Z,2023-05-14T15:18:01.407Z
1900180000+1000,2023-05-14T15:18:01.375Z,2023-05-14T15:18:01.415Z
1900181000+1000,2023-05-14T15:18:01.377Z,2023-05-14T15:18:01.417Z
1900182000+1000,2023-05-14T15:18:01.407Z,2023-05-14T15:18:01.443Z
1900183000+1000,2023-05-14T15:18:01.415Z,2023-05-14T15:18:01.453Z
1900184000+1000,2023-05-14T15:18:01.417Z,2023-05-14T15:18:01.454Z
1900185000+1000,2023-05-14T15:18:01.444Z,2023-05-14T15:18:01.478Z
1900186000+1000,2023-05-14T15:18:01.453Z,2023-05-14T15:18:01.505Z
1900187000+1000,2023-05-14T15:18:01.454Z,2023-05-14T15:18:01.508Z
1900188000+1000,2023-05-14T15:18:01.479Z,2023-05-14T15:18:01.515Z
1900191000+1000,2023-05-14T15:18:01.515Z,2023-05-14T15:18:01.548Z
1900190000+1000,2023-05-14T15:18:01.508Z,2023-05-14T15:18:01.559Z
1900189000+1000,2023-05-14T15:18:01.506Z,2023-05-14T15:18:01.560Z
1900192000+1000,2023-05-14T15:18:01.548Z,2023-05-14T15:18:01.586Z
1900193000+1000,2023-05-14T15:18:01.559Z,2023-05-14T15:18:01.590Z
1900194000+1000,2023-05-14T15:18:01.561Z,2023-05-14T15:18:01.591Z
1900195000+1000,2023-05-14T15:18:01.586Z,2023-05-14T15:18:01.621Z
1900198000+1000,2023-05-14T15:18:01.622Z,2023-05-14T15:18:01.654Z
1900199000+1000,2023-05-14T15:18:01.655Z,2023-05-14T15:18:01.685Z
1900200000+1000,2023-05-14T15:18:01.685Z,2023-05-14T15:18:01.719Z
1900201000+1000,2023-05-14T15:18:01.719Z,2023-05-14T15:18:01.751Z
1900202000+1000,2023-05-14T15:18:01.751Z,2023-05-14T15:18:01.782Z
1900203000+1000,2023-05-14T15:18:01.782Z,2023-05-14T15:18:01.812Z
1900204000+1000,2023-05-14T15:18:01.812Z,2023-05-14T15:18:01.846Z
1900205000+1000,2023-05-14T15:18:01.846Z,2023-05-14T15:18:01.878Z
1900206000+1000,2023-05-14T15:18:01.878Z,2023-05-14T15:18:01.907Z
1900207000+1000,2023-05-14T15:18:01.908Z,2023-05-14T15:18:01.938Z
1900208000+1000,2023-05-14T15:18:01.939Z,2023-05-14T15:18:01.970Z
1900209000+1000,2023-05-14T15:18:01.970Z,2023-05-14T15:18:02.000Z
1900210000+1000,2023-05-14T15:18:02.000Z,2023-05-14T15:18:02.030Z
1900211000+1000,2023-05-14T15:18:02.030Z,2023-05-14T15:18:02.060Z
1900197000+1000,2023-05-14T15:18:01.591Z,2023-05-14T15:18:02.088Z
1900196000+1000,2023-05-14T15:18:01.590Z,2023-05-14T15:18:02.090Z
1900212000+1000,2023-05-14T15:18:02.060Z,2023-05-14T15:18:02.092Z
1900213000+1000,2023-05-14T15:18:02.088Z,2023-05-14T15:18:02.117Z
1900214000+1000,2023-05-14T15:18:02.090Z,2023-05-14T15:18:02.125Z
1900215000+1000,2023-05-14T15:18:02.092Z,2023-05-14T15:18:02.133Z
1900217000+1000,2023-05-14T15:18:02.125Z,2023-05-14T15:18:02.165Z
1900216000+1000,2023-05-14T15:18:02.117Z,2023-05-14T15:18:02.166Z
1900218000+1000,2023-05-14T15:18:02.133Z,2023-05-14T15:18:02.168Z
1900221000+1000,2023-05-14T15:18:02.168Z,2023-05-14T15:18:02.199Z
1900220000+1000,2023-05-14T15:18:02.166Z,2023-05-14T15:18:02.205Z
1900219000+1000,2023-05-14T15:18:02.165Z,2023-05-14T15:18:02.206Z
1900223000+1000,2023-05-14T15:18:02.205Z,2023-05-14T15:18:02.231Z
1900224000+1000,2023-05-14T15:18:02.206Z,2023-05-14T15:18:02.236Z
1900222000+1000,2023-05-14T15:18:02.200Z,2023-05-14T15:18:02.238Z
1900225000+1000,2023-05-14T15:18:02.231Z,2023-05-14T15:18:02.254Z
